epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,740.062,1.34887,3.50955,1.222,0.78805,0.30496,0.35964,0.21695,1.29216,2.59189,1.00849,0.00034,0.00034,0.00034
2,1130.75,1.27107,1.3367,1.0512,0.80765,0.52009,0.59424,0.34894,1.08955,2.3498,0.9996,0.00068614,0.00068614,0.00068614
3,1996.78,1.21243,1.05324,1.06934,0.35187,0.47754,0.27066,0.1397,1.22398,5.91511,1.12449,0.00101802,0.00101802,0.00101802
4,2604.41,1.26068,0.94899,1.09409,0.12342,0.40189,0.08318,0.03503,1.41438,6.03979,1.47718,0.00133565,0.00133565,0.00133565
5,3085.86,1.34499,0.99297,1.14332,0.2068,0.46842,0.14153,0.06048,1.44396,3.77888,1.51038,0.00163902,0.00163902,0.00163902
6,3927.61,1.35631,0.98574,1.14878,0.0152,0.09693,0.00344,0.0014,2.8155,73.4688,9.22313,0.001802,0.001802,0.001802
7,4321.37,1.36212,0.91989,1.14722,0.49448,0.38771,0.42862,0.22113,1.4417,2.30903,1.38633,0.0017624,0.0017624,0.0017624
8,4686.56,1.30553,0.92271,1.17416,0.45358,0.35225,0.31677,0.14178,1.67607,4.72434,1.60448,0.0017228,0.0017228,0.0017228
9,5094.79,1.23697,0.85194,1.10573,0.51634,0.51064,0.4736,0.22165,1.55791,1.68847,1.32593,0.0016832,0.0016832,0.0016832
10,5491.34,1.24142,0.82422,1.0964,0.67049,0.47518,0.53861,0.26713,1.54583,1.62074,1.305,0.0016436,0.0016436,0.0016436
11,5879.22,1.22171,0.79806,1.06577,0.6819,0.61229,0.6497,0.34929,1.27324,0.99845,1.1316,0.001604,0.001604,0.001604
12,6264.66,1.19816,0.78304,1.05344,0.71696,0.41918,0.51503,0.31829,1.13636,0.92728,1.04735,0.0015644,0.0015644,0.0015644
13,6652.32,1.18451,0.78611,1.08112,0.75065,0.63593,0.6959,0.38399,1.10574,0.79753,1.05195,0.0015248,0.0015248,0.0015248
14,7028.01,1.0895,0.70402,1.04731,0.78888,0.64539,0.73869,0.43766,1.04517,0.69937,1.01689,0.0014852,0.0014852,0.0014852
15,7399.21,1.09983,0.66919,1.01875,0.59441,0.27187,0.21139,0.16568,0.84867,1.14859,1.03285,0.0014456,0.0014456,0.0014456
16,7765.04,1.11341,0.68663,1.04963,0.6338,0.40189,0.4329,0.29927,1.04745,0.99874,0.99977,0.001406,0.001406,0.001406
17,8138.34,1.06271,0.67156,1.05082,0.80179,0.68322,0.73472,0.4318,1.03498,0.7637,0.99165,0.0013664,0.0013664,0.0013664
18,11306.3,1.08783,0.70512,1.05226,0.72408,0.70922,0.71304,0.44643,0.96783,0.68318,0.98348,0.0013268,0.0013268,0.0013268
19,11552.1,1.09577,0.66631,1.01437,0.80814,0.74232,0.79104,0.48205,0.94181,0.61608,0.96746,0.0012872,0.0012872,0.0012872
20,11888.7,1.07234,0.66478,1.02673,0.84485,0.75887,0.83151,0.49713,0.98472,0.57527,0.97656,0.0012476,0.0012476,0.0012476
21,12898.9,1.05938,0.66464,1.0318,0.89656,0.74468,0.84091,0.51879,0.89285,0.54663,0.94913,0.001208,0.001208,0.001208
22,13131.4,1.01264,0.61491,0.99554,0.84368,0.71158,0.78449,0.48033,0.90971,0.54974,0.95109,0.0011684,0.0011684,0.0011684
23,14447.7,1.03601,0.63563,1.00916,0.89582,0.73183,0.82013,0.48074,0.91587,0.53371,0.95359,0.0011288,0.0011288,0.0011288
24,14810.4,1.00675,0.61824,1.01236,0.86606,0.73376,0.83632,0.50873,0.9096,0.54735,0.95836,0.0010892,0.0010892,0.0010892
25,15187.6,0.99415,0.59332,1.0012,0.84876,0.78275,0.85991,0.52257,0.92433,0.54864,0.95637,0.0010496,0.0010496,0.0010496
26,15560.5,1.01879,0.6091,0.99276,0.91526,0.79154,0.8735,0.53786,0.8838,0.49599,0.93106,0.00101,0.00101,0.00101
27,15917.1,0.97657,0.57547,0.96608,0.93068,0.75177,0.86165,0.56165,0.80687,0.49582,0.92744,0.0009704,0.0009704,0.0009704
28,16274.9,0.95379,0.5685,0.98975,0.92254,0.76123,0.86781,0.53902,0.852,0.47576,0.92344,0.0009308,0.0009308,0.0009308
29,16676.4,0.90281,0.5447,0.97062,0.92597,0.79433,0.88065,0.57946,0.82542,0.45327,0.92149,0.0008912,0.0008912,0.0008912
30,17088.2,0.91635,0.54622,0.97809,0.89078,0.79196,0.87146,0.56538,0.79306,0.44969,0.91155,0.0008516,0.0008516,0.0008516
31,17525.7,0.89348,0.53643,0.95363,0.86135,0.80142,0.89002,0.55928,0.79287,0.45532,0.9039,0.000812,0.000812,0.000812
32,17866.7,0.89749,0.52355,0.96145,0.90138,0.75414,0.85273,0.54529,0.81251,0.43614,0.90185,0.0007724,0.0007724,0.0007724
33,18164.4,0.86639,0.51286,0.96269,0.91934,0.77069,0.87488,0.59079,0.74272,0.4327,0.89323,0.0007328,0.0007328,0.0007328
34,18463,0.89015,0.51673,0.94933,0.88724,0.80142,0.88183,0.58127,0.75687,0.43913,0.88972,0.0006932,0.0006932,0.0006932
